molid,identifiere,ZM1,ZM1V,ZM2,ZM2V,Qindex,SNar,HNar,GNar,Xt,Dz,Ram,Pol,LPRS,VDA,MSD,SMTI,SMTIV,GMTI,GMTIV,Xu,SPI,bigW,WA,Har,Har2,QW,TI1,TI2,STN,HyDp,RHyDp,w,ww,Rww,D/D,Wap,WhetZ,Whetm,Whetv,Whete,Whetp,J,JhetZ,Jhetm,Jhetv,Jhete,Jhetp,MAXDN,MAXDP,DELS,TIE,S0K,S1K,S2K,S3K,PHI,BLI,PW2,PW3,PW4,PW5,PJI2,CSI,ECC,AECC,DECC,MDDD,UNIP,CENT,VAR,BAC,Lop,ICR,D/Dr03,D/Dr04,D/Dr05,D/Dr06,D/Dr07,D/Dr08,D/Dr09,D/Dr10,D/Dr11,D/Dr12,T(N..N),T(N..O),T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..O),T(O..S),T(O..P),T(O..F),T(O..Cl),T(O..Br),T(O..I),T(S..S),T(S..P),T(S..F),T(S..Cl),T(S..Br),T(S..I),T(P..P),T(P..F),T(P..Cl),T(P..Br),T(P..I),T(F..F),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),T(Br..I),T(I..I)
1,C10H14O,52.0,116.0,58.0,106.0,7.0,6.4740000000000002,1.6100000000000001,1.8009999999999999,0.39300000000000002,23.0,4.0,14.0,36.316000000000003,27.635999999999999,0.29399999999999998,619.0,978.0,521.0,1180.0,10.871,6.6829999999999998,152.0,2.7639999999999998,17.061,26.5,120.0,0.0,1.696,1.792,337.0,19.562000000000001,258.0,816.0,9.2690000000000001,35.704999999999998,399.0,132.25,132.25299999999999,138.26900000000001,132.267,139.501,2.3959999999999999,2.7189999999999999,2.7189999999999999,2.6240000000000001,2.7189999999999999,2.6059999999999999,1.385,4.2000000000000002,10.151,18.471,38.054000000000002,8.2539999999999996,3.0390000000000001,1.796,2.2810000000000001,1.081,0.59099999999999997,0.33200000000000002,0.13500000000000001,0.078,1.0,99.0,52.0,4.7270000000000003,0.84299999999999997,4.8099999999999996,21.0,73.0,14.0,18.0,1.1599999999999999,1.8680000000000001,0.0,0.0,0.0,34.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C5H10O3,30.0,128.0,30.0,92.0,2.0,3.5840000000000001,1.4119999999999999,1.5649999999999999,0.52800000000000002,19.0,2.0,7.0,22.713000000000001,17.5,0.371,254.0,590.0,175.0,718.0,7.9779999999999998,5.1970000000000001,70.0,2.5,10.108000000000001,14.733000000000001,70.0,-8.1189999999999998,2.2290000000000001,0.0,143.0,11.367000000000001,70.0,143.0,11.367000000000001,28.0,70.0,57.125,57.149000000000001,102.271,57.253,111.508,3.1709999999999998,3.8849999999999998,3.8839999999999999,2.1619999999999999,3.8769999999999998,1.984,2.3239999999999998,3.2709999999999999,13.324999999999999,15.099,24.0,7.5970000000000004,3.581,3.3090000000000002,3.4009999999999998,1.0840000000000001,0.54200000000000004,0.28799999999999998,0.091999999999999998,0.032000000000000001,0.66700000000000004,54.0,33.0,4.125,0.65600000000000003,3.125,12.0,44.0,12.0,24.0,1.5,1.5609999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C10H18O,52.0,86.0,58.0,79.0,7.0,6.4740000000000002,1.6100000000000001,1.8009999999999999,0.39300000000000002,23.0,4.0,14.0,36.164000000000001,27.273,0.28899999999999998,611.0,824.0,513.0,884.0,10.833,6.6379999999999999,150.0,2.7269999999999999,17.106000000000002,26.600000000000001,119.0,0.0,1.6020000000000001,1.792,327.0,19.629000000000001,260.0,832.0,9.2530000000000001,35.276000000000003,399.0,142.5,142.506,154.53899999999999,142.53399999999999,157.00200000000001,2.4369999999999998,2.5390000000000001,2.5390000000000001,2.3809999999999998,2.5379999999999998,2.3519999999999999,1.462,3.649,9.5340000000000007,20.001000000000001,38.054000000000002,8.7949999999999999,3.3980000000000001,2.0630000000000002,2.7170000000000001,1.212,0.58699999999999997,0.32600000000000001,0.159,0.067000000000000004,1.0,95.0,50.0,4.5449999999999999,0.95899999999999996,4.5289999999999999,20.0,80.0,16.0,18.0,1.1599999999999999,1.9359999999999999,0.0,0.0,0.0,34.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,C10H18O,52.0,94.0,58.0,84.0,7.0,6.4740000000000002,1.6100000000000001,1.8009999999999999,0.39300000000000002,23.0,4.0,14.0,36.164000000000001,27.273,0.28899999999999998,611.0,824.0,513.0,840.0,10.833,6.6379999999999999,150.0,2.7269999999999999,17.106000000000002,26.600000000000001,119.0,0.0,1.6020000000000001,1.792,327.0,19.629000000000001,260.0,832.0,9.2530000000000001,35.276000000000003,399.0,143.75,143.75299999999999,149.76900000000001,143.767,151.001,2.4369999999999998,2.5270000000000001,2.5270000000000001,2.4399999999999999,2.5259999999999998,2.4239999999999999,1.1679999999999999,4.4459999999999997,9.8480000000000008,20.893000000000001,36.054000000000002,8.7690000000000001,3.3809999999999998,2.0499999999999998,2.6949999999999998,1.264,0.58699999999999997,0.32600000000000001,0.159,0.067000000000000004,1.0,95.0,50.0,4.5449999999999999,0.95899999999999996,4.5289999999999999,20.0,80.0,16.0,18.0,1.1599999999999999,1.9359999999999999,0.0,0.0,0.0,34.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C10H14O,52.0,116.0,58.0,106.0,7.0,6.4740000000000002,1.6100000000000001,1.8009999999999999,0.39300000000000002,23.0,4.0,14.0,36.316000000000003,27.635999999999999,0.29399999999999998,619.0,978.0,521.0,1180.0,10.871,6.6829999999999998,152.0,2.7639999999999998,17.061,26.5,120.0,0.0,1.696,1.792,337.0,19.562000000000001,258.0,816.0,9.2690000000000001,35.704999999999998,399.0,132.25,132.25299999999999,138.26900000000001,132.267,139.501,2.3959999999999999,2.7189999999999999,2.7189999999999999,2.6240000000000001,2.7189999999999999,2.6059999999999999,1.385,4.2000000000000002,10.151,18.471,38.054000000000002,8.2539999999999996,3.0390000000000001,1.796,2.2810000000000001,1.081,0.59099999999999997,0.33200000000000002,0.13500000000000001,0.078,1.0,99.0,52.0,4.7270000000000003,0.84299999999999997,4.8099999999999996,21.0,73.0,14.0,18.0,1.1599999999999999,1.8680000000000001,0.0,0.0,0.0,34.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C10H18O,52.0,86.0,58.0,79.0,7.0,6.4740000000000002,1.6100000000000001,1.8009999999999999,0.39300000000000002,23.0,4.0,14.0,36.164000000000001,27.273,0.28899999999999998,611.0,824.0,513.0,884.0,10.833,6.6379999999999999,150.0,2.7269999999999999,17.106000000000002,26.600000000000001,119.0,0.0,1.6020000000000001,1.792,327.0,19.629000000000001,260.0,832.0,9.2530000000000001,35.276000000000003,399.0,142.5,142.506,154.53899999999999,142.53399999999999,157.00200000000001,2.4369999999999998,2.5390000000000001,2.5390000000000001,2.3809999999999998,2.5379999999999998,2.3519999999999999,1.462,3.649,9.5340000000000007,20.001000000000001,38.054000000000002,8.7949999999999999,3.3980000000000001,2.0630000000000002,2.7170000000000001,1.212,0.58699999999999997,0.32600000000000001,0.159,0.067000000000000004,1.0,95.0,50.0,4.5449999999999999,0.95899999999999996,4.5289999999999999,20.0,80.0,16.0,18.0,1.1599999999999999,1.9359999999999999,0.0,0.0,0.0,34.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C10H18O,52.0,94.0,58.0,84.0,7.0,6.4740000000000002,1.6100000000000001,1.8009999999999999,0.39300000000000002,23.0,4.0,14.0,36.164000000000001,27.273,0.28899999999999998,611.0,824.0,513.0,840.0,10.833,6.6379999999999999,150.0,2.7269999999999999,17.106000000000002,26.600000000000001,119.0,0.0,1.6020000000000001,1.792,327.0,19.629000000000001,260.0,832.0,9.2530000000000001,35.276000000000003,399.0,143.75,143.75299999999999,149.76900000000001,143.767,151.001,2.4369999999999998,2.5270000000000001,2.5270000000000001,2.4399999999999999,2.5259999999999998,2.4239999999999999,1.1679999999999999,4.4459999999999997,9.8480000000000008,20.893000000000001,36.054000000000002,8.7690000000000001,3.3809999999999998,2.0499999999999998,2.6949999999999998,1.264,0.58699999999999997,0.32600000000000001,0.159,0.067000000000000004,1.0,95.0,50.0,4.5449999999999999,0.95899999999999996,4.5289999999999999,20.0,80.0,16.0,18.0,1.1599999999999999,1.9359999999999999,0.0,0.0,0.0,34.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C10H16,58.0,70.0,72.0,84.0,12.0,6.7619999999999996,1.7390000000000001,1.966,0.38500000000000001,20.0,5.0,13.0,30.023,20.399999999999999,0.25900000000000001,476.0,528.0,421.0,504.0,9.3859999999999992,5.0140000000000002,102.0,2.2669999999999999,16.757000000000001,24.582999999999998,71.200000000000003,5.8940000000000001,0.98599999999999999,2.996,187.0,19.0,236.0,802.0,5.8600000000000003,21.829000000000001,602.0,96.0,96.0,96.0,96.0,96.0,2.1560000000000001,2.2970000000000002,2.2970000000000002,2.2970000000000002,2.2970000000000002,2.2970000000000002,0.61199999999999999,0.435,3.1320000000000001,10.238,31.219000000000001,6.4500000000000002,1.6639999999999999,0.66000000000000003,1.073,1.169,0.63300000000000001,0.38600000000000001,0.17299999999999999,0.076999999999999999,0.33300000000000002,74.0,35.0,3.5,0.5,2.8799999999999999,16.0,44.0,10.0,10.0,0.85299999999999998,1.0,0.0,15.581,0.0,48.875999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C10H20O,54.0,78.0,60.0,72.0,8.0,6.3559999999999999,1.5900000000000001,1.782,0.39700000000000002,23.0,4.0,14.0,35.744,26.181999999999999,0.27300000000000002,591.0,735.0,493.0,721.0,10.709,6.3529999999999998,144.0,2.6179999999999999,17.363,27.016999999999999,118.0,0.0,1.661,1.792,298.0,19.966999999999999,256.0,830.0,9.9760000000000009,35.433,383.0,141.5,141.506,153.53899999999999,141.53399999999999,156.00200000000001,2.5449999999999999,2.5819999999999999,2.5819999999999999,2.4199999999999999,2.581,2.391,1.3720000000000001,3.7050000000000001,8.7789999999999999,20.704000000000001,33.298999999999999,9.0519999999999996,3.1400000000000001,2.1949999999999998,2.5840000000000001,1.2809999999999999,0.60199999999999998,0.317,0.153,0.058999999999999997,0.66700000000000004,85.0,45.0,4.0910000000000002,0.66100000000000003,3.9830000000000001,18.0,90.0,13.0,18.0,1.1599999999999999,1.573,0.0,0.0,0.0,34.704999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C10H20O,54.0,78.0,60.0,72.0,8.0,6.3559999999999999,1.5900000000000001,1.782,0.39700000000000002,23.0,4.0,14.0,35.744,26.181999999999999,0.27300000000000002,591.0,735.0,493.0,721.0,10.709,6.3529999999999998,144.0,2.6179999999999999,17.363,27.016999999999999,118.0,0.0,1.661,1.792,298.0,19.966999999999999,256.0,830.0,9.9760000000000009,35.433,383.0,141.5,141.506,153.53899999999999,141.53399999999999,156.00200000000001,2.5449999999999999,2.5819999999999999,2.5819999999999999,2.4199999999999999,2.581,2.391,1.3720000000000001,3.7050000000000001,8.7789999999999999,20.704000000000001,33.298999999999999,9.0519999999999996,3.1400000000000001,2.1949999999999998,2.5840000000000001,1.2809999999999999,0.60199999999999998,0.317,0.153,0.058999999999999997,0.66700000000000004,85.0,45.0,4.0910000000000002,0.66100000000000003,3.9830000000000001,18.0,90.0,13.0,18.0,1.1599999999999999,1.573,0.0,0.0,0.0,34.704999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,C5H10O2,26.0,92.0,26.0,67.0,2.0,2.8900000000000001,1.355,1.5109999999999999,0.58799999999999997,16.0,2.0,6.0,17.873000000000001,13.143000000000001,0.36899999999999999,168.0,379.0,106.0,385.0,6.6689999999999996,4.5039999999999996,46.0,2.1899999999999999,8.5419999999999998,12.0,46.0,-6.1589999999999998,1.776,0.0,83.0,9.5329999999999995,46.0,83.0,9.5329999999999995,21.0,46.0,40.75,40.756,51.585000000000001,40.780999999999999,53.802,3.1440000000000001,3.5089999999999999,3.5089999999999999,2.847,3.5070000000000001,2.7450000000000001,2.3730000000000002,2.9300000000000002,10.225,13.036,19.651,6.6360000000000001,2.7509999999999999,2.3460000000000001,2.6080000000000001,1.2050000000000001,0.55700000000000005,0.30499999999999999,0.059999999999999998,0.0,1.0,36.0,23.0,3.286,0.61199999999999999,2.4079999999999999,9.0,29.0,8.0,21.0,1.379,1.4490000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,C5H10O2,26.0,92.0,26.0,67.0,2.0,2.8900000000000001,1.355,1.5109999999999999,0.58799999999999997,16.0,2.0,6.0,17.873000000000001,13.143000000000001,0.36899999999999999,168.0,379.0,106.0,385.0,6.6689999999999996,4.5039999999999996,46.0,2.1899999999999999,8.5419999999999998,12.0,46.0,-6.1589999999999998,1.776,0.0,83.0,9.5329999999999995,46.0,83.0,9.5329999999999995,21.0,46.0,40.75,40.756,51.585000000000001,40.780999999999999,53.802,3.1440000000000001,3.5089999999999999,3.5089999999999999,2.847,3.5070000000000001,2.7450000000000001,2.3730000000000002,2.9300000000000002,10.225,13.036,19.651,6.6360000000000001,2.7509999999999999,2.3460000000000001,2.6080000000000001,1.2050000000000001,0.55700000000000005,0.30499999999999999,0.059999999999999998,0.0,1.0,36.0,23.0,3.286,0.61199999999999999,2.4079999999999999,9.0,29.0,8.0,21.0,1.379,1.4490000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,C10H16,58.0,70.0,72.0,84.0,12.0,6.7619999999999996,1.7390000000000001,1.966,0.38500000000000001,20.0,5.0,13.0,30.023,20.399999999999999,0.25900000000000001,476.0,528.0,421.0,504.0,9.3859999999999992,5.0140000000000002,102.0,2.2669999999999999,16.757000000000001,24.582999999999998,71.200000000000003,5.8940000000000001,0.98599999999999999,2.996,187.0,19.0,236.0,802.0,5.8600000000000003,21.829000000000001,602.0,96.0,96.0,96.0,96.0,96.0,2.1560000000000001,2.2970000000000002,2.2970000000000002,2.2970000000000002,2.2970000000000002,2.2970000000000002,0.61199999999999999,0.435,3.1320000000000001,10.238,31.219000000000001,6.4500000000000002,1.6639999999999999,0.66000000000000003,1.073,1.169,0.63300000000000001,0.38600000000000001,0.17299999999999999,0.076999999999999999,0.33300000000000002,74.0,35.0,3.5,0.5,2.8799999999999999,16.0,44.0,10.0,10.0,0.85299999999999998,1.0,0.0,15.581,0.0,48.875999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,C13H24O2,60.0,146.0,63.0,129.0,3.0,8.1479999999999997,1.579,1.7210000000000001,0.34999999999999998,32.0,3.0,17.0,60.444000000000003,57.600000000000001,0.32400000000000001,1578.0,2270.0,1322.0,2464.0,15.645,10.058999999999999,432.0,4.1139999999999999,22.007999999999999,38.417999999999999,432.0,-25.888000000000002,3.798,0.0,1370.0,25.681000000000001,432.0,1370.0,25.681000000000001,105.0,432.0,382.75,382.82499999999999,523.60500000000002,383.149,552.42600000000004,3.7629999999999999,4.2709999999999999,4.2699999999999996,3.02,4.266,2.8519999999999999,1.833,4.4859999999999998,13.238,52.976999999999997,56.603000000000002,14.377000000000001,8.6660000000000004,6.4550000000000001,8.3059999999999992,1.284,0.52900000000000003,0.30599999999999999,0.129,0.062,1.0,206.0,115.0,7.6669999999999998,1.2889999999999999,10.640000000000001,40.0,264.0,45.0,47.0,2.4159999999999999,2.5059999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C8H18O,30.0,54.0,28.0,36.0,0.0,4.8520000000000003,1.6359999999999999,1.714,0.45400000000000001,19.0,0.0,6.0,29.343,26.667000000000002,0.45600000000000002,438.0,606.0,344.0,600.0,9.8350000000000009,4.6050000000000004,120.0,3.3330000000000002,11.029,16.460999999999999,120.0,-12.276999999999999,3.6850000000000001,0.0,330.0,12.342000000000001,120.0,330.0,12.342000000000001,36.0,120.0,118.0,118.005,127.631,118.027,129.602,2.5950000000000002,2.629,2.629,2.4769999999999999,2.6280000000000001,2.448,1.133,2.423,5.274,15.925000000000001,28.529,8.9610000000000003,7.9610000000000003,7.9610000000000003,7.9269999999999996,1.5089999999999999,0.46300000000000002,0.22600000000000001,0.104,0.050000000000000003,1.0,96.0,56.0,6.2220000000000004,1.1359999999999999,5.1849999999999996,20.0,60.0,16.0,17.0,2.2810000000000001,2.2810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,C5H12O,18.0,42.0,16.0,24.0,0.0,2.7730000000000001,1.5,1.587,0.60099999999999998,13.0,0.0,3.0,14.606,11.667,0.48299999999999998,128.0,212.0,85.0,185.0,5.9690000000000003,3.0939999999999999,35.0,2.3330000000000002,6.4980000000000002,8.6999999999999993,35.0,-5.5430000000000001,2.488,0.0,70.0,7.0999999999999996,35.0,70.0,7.0999999999999996,15.0,35.0,33.75,33.753,39.768999999999998,33.767000000000003,41.000999999999998,2.339,2.411,2.411,2.1059999999999999,2.4100000000000001,2.0550000000000002,1.145,2.1970000000000001,4.6360000000000001,6.3949999999999996,15.51,5.9610000000000003,4.9610000000000003,5.2990000000000004,4.9290000000000003,1.514,0.44400000000000001,0.214,0.088999999999999996,0.033000000000000002,0.66700000000000004,38.0,24.0,4.0,0.66700000000000004,2.222,9.0,16.0,6.0,12.0,1.585,1.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,C8H10O,40.0,96.0,43.0,90.0,5.0,5.6630000000000003,1.742,1.8759999999999999,0.41999999999999998,19.0,2.0,9.0,26.622,19.556000000000001,0.31900000000000001,375.0,638.0,315.0,826.0,8.8599999999999994,3.9910000000000001,88.0,2.444,13.143000000000001,19.149999999999999,69.0,0.0,1.659,1.792,176.0,14.800000000000001,160.0,488.0,6.2949999999999999,22.448,239.0,68.0,68.004999999999995,77.631,68.027000000000001,79.602000000000004,2.2280000000000002,2.9129999999999998,2.9119999999999999,2.6339999999999999,2.9119999999999999,2.585,1.675,3.024,6.0469999999999997,9.3879999999999999,24.529,6.3040000000000003,2.6469999999999998,1.542,1.8540000000000001,1.012,0.55600000000000005,0.30299999999999999,0.13900000000000001,0.066000000000000003,0.66700000000000004,69.0,36.0,4.0,0.66700000000000004,2.9380000000000002,14.0,50.0,10.0,6.0,1.1870000000000001,1.585,0.0,0.0,0.0,26.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,C8H10O,40.0,96.0,43.0,90.0,5.0,5.6630000000000003,1.742,1.8759999999999999,0.41999999999999998,19.0,2.0,9.0,26.622,19.556000000000001,0.31900000000000001,375.0,638.0,315.0,826.0,8.8599999999999994,3.9910000000000001,88.0,2.444,13.143000000000001,19.149999999999999,69.0,0.0,1.659,1.792,176.0,14.800000000000001,160.0,488.0,6.2949999999999999,22.448,239.0,68.0,68.004999999999995,77.631,68.027000000000001,79.602000000000004,2.2280000000000002,2.9129999999999998,2.9119999999999999,2.6339999999999999,2.9119999999999999,2.585,1.675,3.024,6.0469999999999997,9.3879999999999999,24.529,6.3040000000000003,2.6469999999999998,1.542,1.8540000000000001,1.012,0.55600000000000005,0.30299999999999999,0.13900000000000001,0.066000000000000003,0.66700000000000004,69.0,36.0,4.0,0.66700000000000004,2.9380000000000002,14.0,50.0,10.0,6.0,1.1870000000000001,1.585,0.0,0.0,0.0,26.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,C3H8O,10.0,34.0,8.0,16.0,0.0,1.3859999999999999,1.333,1.4139999999999999,0.84899999999999998,9.0,0.0,1.0,6.3559999999999999,5.0,0.52700000000000002,38.0,86.0,19.0,55.0,3.161,1.893,10.0,1.667,3.6110000000000002,4.3330000000000002,10.0,-2.4990000000000001,1.7070000000000001,0.0,15.0,3.8330000000000002,10.0,15.0,3.8330000000000002,6.0,10.0,9.25,9.2520000000000007,12.862,9.2599999999999998,13.601000000000001,1.9750000000000001,2.1219999999999999,2.1219999999999999,1.5700000000000001,2.1200000000000001,1.492,1.181,1.875,3.75,2.2130000000000001,8.0,3.9609999999999999,2.9609999999999999,4.0019999999999998,2.9319999999999999,1.5229999999999999,0.41699999999999998,0.16700000000000001,0.0,0.0,0.5,14.0,10.0,2.5,0.5,1.0,4.0,4.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,C10H18O,64.0,96.0,78.0,110.0,13.0,7.3369999999999997,1.7370000000000001,1.948,0.36899999999999999,23.0,5.0,14.0,34.771999999999998,24.0,0.251,598.0,710.0,530.0,682.0,10.385999999999999,5.5570000000000004,132.0,2.3999999999999999,19.073,28.817,98.667000000000002,7.4569999999999999,1.3400000000000001,3.0449999999999999,256.0,21.832999999999998,266.0,844.0,8.0999999999999996,29.981000000000002,636.0,125.5,125.517,156.80099999999999,125.589,163.20599999999999,2.2029999999999998,2.3439999999999999,2.343,1.8220000000000001,2.3420000000000001,1.75,0.996,2.609,6.9089999999999998,14.084,32.054000000000002,7.6020000000000003,2.0070000000000001,0.93700000000000006,1.387,1.1910000000000001,0.63500000000000001,0.373,0.17000000000000001,0.092999999999999999,0.66700000000000004,89.0,43.0,3.9089999999999998,0.66100000000000003,3.6360000000000001,17.0,77.0,14.0,11.0,1.1399999999999999,1.573,0.0,0.0,47.381,28.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
